# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	AC6YY	AC6YY	SO-CW-LP	SCV		13280	83	40	0	Northern California Contest Club	289	AC6YY
ARRL-10	2025	AC6ZM	AC6ZM	SOU-MIX-HP	TN		4752	74	18	0	Tennessee Contest Group	112	AC6ZM
ARRL-10	2025	AC7AF	AC7AF	SO-CW-LP	WY		41664	169	62	0		552	AC7AF
ARRL-10	2025	AC7GL	AC7GL	SOU-MIX-HP	ID		81120	275	120	0	All Idaho Contest Club	978	AC7GL
ARRL-10	2025	AC7JK	AC7JK	SOU-PH-HP	ID		20328	158	66	0		849	AC7JK
ARRL-10	2025	AC7MX	AC7MX	SO-PH-LP	WWA		1224	34	18	0	Western Washington DX Club	144	AC7MX
ARRL-10	2025	AC8AZ	AC8AZ	SO-MIX-LP	MI		1802	30	17	0		227	AC8AZ
ARRL-10	2025	AC8HZ	AC8HZ	SO-PH-LP	MI		8	3	2	0		11	AC8HZ
ARRL-10	2025	AC8KD	AC8KD	SO-PH-LP	MI		784	29	14	0	Motor City Radio Club	230	AC8KD
ARRL-10	2025	AC8ZU	AC8ZU	SOU-PH-LP	OH		200	11	10	0	Bellbrook Amateur Radio Club	54	AC8ZU
ARRL-10	2025	AC9PG	AC9PG	SO-CW-LP	WI		6440	75	23	0		131	AC9PG
ARRL-10	2025	AC9S	AC9S	SOU-MIX-HP	IL		528024	881	196	0	Society of Midwest Contesters	1264	AC9S
ARRL-10	2025	AC9TO	AC9TO	SO-PH-LP	WI		1260	45	14	0	Minnesota Wireless Assn	131	AC9TO
ARRL-10	2025	AD0AB	AD0AB	SOU-CW-HP	KS		15664	95	44	0		213	AD0AB
ARRL-10	2025	AD0H	AD0H	SO-CW-LP	IA		7296	51	38	0	Story County Amateur Radio Club	183	AD0H
ARRL-10	2025	AD0RW	AD0RW	SOU-CW-LP	IA		50652	189	67	0		745	AD0RW
ARRL-10	2025	AD0UY	AD0UY	SO-PH-LP	KS		468	19	13	0		55	AD0UY
ARRL-10	2025	AD0YL	AD0YL	SO-PH-LP	MO		3180	55	30	0		198	AD0YL
ARRL-10	2025	AD1C	AD1C	SOU-CW-LP	CO		264480	573	116	0	Grand Mesa Contesters of Colorado	813	AD1C
ARRL-10	2025	AD2EE	AD2EE	SO-PH-LP	NLI		2912	58	26	0		189	AD2EE
ARRL-10	2025	AD2HL	AD2HL	SOU-PH-HP	ENY		644	23	14	0		61	AD2HL
ARRL-10	2025	AD2KC	AD2KC	SO-PH-LP	NLI		6	3	3	0		4	AD2KC
ARRL-10	2025	AD4CL	AD4CL	SO-PH-LP	SFL		192	12	8	0		59	AD4CL
ARRL-10	2025	AD4EB	AD4EB	SOU-CW-HP	TN		603432	993	153	0	Tennessee Contest Group	929	AD4EB
ARRL-10	2025	AD4GG	AD4GG	SOU-PH-LP	TN		36126	224	81	0		907	AD4GG
ARRL-10	2025	AD4IE	AD4IE	SO-MIX-HP	NC		27064	130	68	0	Carolina DX Association	258	AD4IE
ARRL-10	2025	AD4MO	AD4MO	SO-PH-LP	NFL		9936	96	54	0	The Villages Amateur Radio Club	546	AD4MO
ARRL-10	2025	AD4TJ	AD4TJ	SO-CW-HP	VA		79296	240	84	0	Valley Amateur Radio Association	643	AD4TJ
ARRL-10	2025	AD4TT	AD4TT	SO-PH-LP	NFL		896	31	16	0		92	AD4TT
ARRL-10	2025	AD4XT	AD4XT	SO-PH-LP	GA		8502	114	39	0	South East Contest Club	342	AD4XT
